unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
484,object,water,0.205240693,blue-c,61494563,3893489,685302,0.010591544,water,5662399,3593729,1576228,0.205240693,torso,7669375,1236730,53305,0.006021259,concrete,382930,156628,1410,0.002620097,canal-urban-s,150528,969109,41362,0.038359417,,24924928,455418,346511,0.013841707
485,scene,living_room-s,0.064980239,brown-c,182265724,3710890,980515,0.005300193,sofa,4094071,2112723,218307,0.03645445,back pillow,282308,1137212,62329,0.045925002,fabric,8548746,1323539,97223,0.009946024,living_room-s,9621248,1617104,685713,0.064980239,crosshatched,1743616,179967,16946,0.008887901
486,scene,street-s,0.061883393,grey-c,159331282,3765016,1272360,0.007862619,building,35246027,3584480,1635797,0.043979292,coach,689166,1504027,44116,0.020527882,brick,422313,58559,2362,0.004936156,street-s,28111104,2744046,1798146,0.061883393,,24924928,89387,87249,0.003500171
487,scene,jacuzzi-indoor-s,0.067329751,blue-c,61494563,3664411,467749,0.007230486,water,5662399,2186904,209398,0.027408456,screen,677188,858097,65757,0.044747021,glass,2246777,653814,41076,0.014364674,jacuzzi-indoor-s,526848,1169932,107037,0.067329751,smeared,1869056,457038,49804,0.021879462
488,scene,amphitheater-s,0.062229692,purple-c,10857154,3671631,109971,0.00762691,grandstand,516123,2044539,129494,0.05326411,leg,2786636,511251,20943,0.006391016,food,1104928,452386,5655,0.003644486,amphitheater-s,275968,1049325,77641,0.062229692,honeycombed,1555456,968078,89948,0.036961094
489,object,tent,0.042371914,red-c,21004512,3692455,213853,0.008734714,tent,221716,2390689,106193,0.042371914,headboard,500152,1182406,27461,0.016591777,fabric,8548746,907276,104048,0.011125779,gazebo-exterior-s,363776,1020690,54723,0.041153065,gauzy,1630720,293441,18657,0.00979111
490,material,food,0.130340511,orange-c,30348501,3789055,432321,0.012826524,bottle,940208,1564729,129597,0.054559347,body,1291612,593162,105976,0.05957731,food,1104928,1150801,260110,0.130340511,bakery-shop-s,715008,1064060,76832,0.045135927,bumpy,2082304,1006675,257852,0.091077511
491,object,pool table,0.080226468,red-c,21004512,3710608,150181,0.006113632,pool table,435101,2193871,195249,0.080226468,seat cushion,340448,1130172,25387,0.017566026,carpet,4405463,1277316,141451,0.025526552,poolroom-home-s,1317120,1726849,225111,0.079858936,,24924928,109115,106968,0.004291238
492,object,bus,0.164204321,blue-c,61494563,3754112,448233,0.006917129,bus,1628191,2958313,646900,0.164204321,coach,689166,1519505,27605,0.012656655,fabric,8548746,485348,61440,0.006847472,bus_depot-outdoor-s,163072,1118058,36556,0.029372299,,24924928,185919,178404,0.007155496
493,scene,cloister-indoor-s,0.047757362,black-c,139916835,3757136,1312958,0.009222736,hovel,248632,1467993,18375,0.010819962,wing,323329,434407,4669,0.00619998,concrete,382930,434694,10281,0.012734364,cloister-indoor-s,263424,551090,37126,0.047757362,flecked,1580544,1490975,106419,0.035890526
494,object,bird,0.06569153,brown-c,182265724,3766668,1095016,0.00592101,bird,1030707,2820764,237413,0.06569153,torso,7669375,2358123,561404,0.059306827,fur,103280,319110,4896,0.011727115,natural_history_museum-s,125440,291291,19087,0.048000221,interlaced,1630720,587416,43590,0.020045564
495,scene,gymnasium-indoor-s,0.063033779,pink-c,18491188,3673080,122932,0.005577339,airplane,1293178,2032151,117507,0.036631397,body,1291612,1334901,57115,0.022228942,ceramic,679072,1012648,10338,0.006148514,gymnasium-indoor-s,326144,698122,60735,0.063033779,,24924928,109819,97329,0.00390293
496,scene,closet-s,0.06714295,pink-c,18491188,3675108,144255,0.006550483,bed,5899566,2066585,202087,0.026028508,drawer,540514,863198,44778,0.032950828,fabric,8548746,978273,60290,0.00636862,closet-s,990976,1507847,157222,0.06714295,,24924928,183138,171741,0.006887182
497,scene,auditorium-s,0.12529565,red-c,21004512,3865764,308694,0.012568164,seat,1488057,1618032,256147,0.089877969,headboard,500152,334058,10320,0.012525944,food,1104928,457326,25239,0.01642079,auditorium-s,489216,1180743,185941,0.12529565,scaly,1568000,1719342,218242,0.071109446
498,scene,cockpit-s,0.107974874,white-c,72511065,3703225,604585,0.00799613,airplane,1293178,2880288,135410,0.033533463,head,4946761,1639033,215765,0.033871902,glass,2246777,558988,67745,0.024742332,cockpit-s,539392,1037500,153672,0.107974874,,24924928,175095,163828,0.006569888
499,scene,corridor-s,0.052957058,brown-c,182265724,3645667,1321198,0.007157466,shelf,1919975,1180484,44810,0.014664642,back,593570,387398,4548,0.004657832,tile,3959469,1706537,46961,0.00835747,corridor-s,1530368,766383,115512,0.052957058,,24924928,166427,164554,0.006601489
500,object,sofa,0.112152223,red-c,21004512,3770549,221219,0.009009547,sofa,4094071,1464904,560581,0.112152223,seat cushion,340448,940174,93808,0.079041872,fabric,8548746,1706119,459936,0.046956543,living_room-s,9621248,971745,444126,0.043761141,wrinkled,1555456,98620,13914,0.008483308
501,object,train,0.055559767,black-c,139916835,3763642,827491,0.005792606,train,1646804,2809307,234549,0.055559767,head,4946761,1007602,180829,0.031320332,leather,470954,666558,5377,0.004749434,cemetery-s,250880,1563673,93486,0.054318629,honeycombed,1555456,343933,21908,0.011668826
502,object,train,0.082237813,green-c,63326720,3751392,423227,0.006349527,train,1646804,2496840,314870,0.082237813,coach,689166,1011477,69372,0.042526349,granite,1315719,622232,15344,0.00798083,laundromat-s,363776,1319312,81174,0.050673132,spiralled,1605632,254666,36068,0.01977163
503,object,book,0.086883106,red-c,21004512,3712571,159254,0.006484857,book,615007,2109672,217805,0.086883106,muzzle,666221,863019,33990,0.022731985,wallpaper,479323,900037,11270,0.008237762,closet-s,990976,1237561,149289,0.071799516,freckled,1555456,291255,43722,0.024249732
504,object,work surface,0.047273426,grey-c,159331282,3741790,979969,0.006045717,work surface,492152,1049889,69607,0.047273426,drawer,540514,719848,19078,0.015369569,granite,1315719,1758971,74525,0.0248403,kitchen-s,9006592,844872,438002,0.046529322,potholed,1580544,89931,24411,0.014829922
505,object,person,0.040368652,pink-c,18491188,3730700,208630,0.00947747,person,14523849,3141953,685473,0.040368652,torso,7669375,2059354,337304,0.035916168,skin,177664,430224,3276,0.005418351,creek-s,577024,702294,47328,0.038415896,,24924928,370307,252489,0.010082321
506,scene,bullring-s,0.048526919,yellow-c,34166024,3675800,316696,0.008439571,bed,5899566,1604587,218954,0.030054635,torso,7669375,912821,88380,0.010405217,food,1104928,1081885,77590,0.036786058,bullring-s,137984,842936,45398,0.048526919,stained,1693440,270390,27169,0.014028785
507,scene,bow_window-outdoor-s,0.032510816,yellow-c,34166024,3649373,222184,0.005910216,building,35246027,2004296,509574,0.013869451,shop window,233888,826017,19527,0.01876914,glass,2246777,847036,30824,0.010063373,bow_window-outdoor-s,288512,1100023,43721,0.032510816,interlaced,1630720,340584,43506,0.022567717
508,scene,corridor-s,0.029818258,pink-c,18491188,3574299,250715,0.0114929,person,14523849,1985623,465237,0.028997144,hand,398768,1084274,39544,0.027394565,skin,177664,831963,18724,0.018895896,corridor-s,1530368,980850,72712,0.029818258,freckled,1555456,103373,8863,0.005371626
509,part,screen,0.059537775,black-c,139916835,3782588,1095178,0.007679842,computer,374106,1665407,73805,0.037546268,screen,677188,1007298,94655,0.059537775,glass,2246777,1492683,62491,0.016995248,home_office-s,1317120,1009477,71312,0.03161995,,24924928,100934,100266,0.004022612
510,scene,medina-s,0.065050876,grey-c,159331282,3767121,997935,0.006156275,bicycle,1152271,2064714,123318,0.039861433,wheel,1513439,983818,95458,0.039744375,concrete,382930,716798,26099,0.024309142,medina-s,163072,646454,49444,0.065050876,stained,1693440,575822,59988,0.027152811
511,texture,gauzy,0.039809935,grey-c,159331282,3662222,1228117,0.007591964,fence,2236367,2292469,128214,0.029135427,head,4946761,914511,58058,0.010004456,fabric,8548746,539231,67430,0.007475156,dam-s,150528,954221,30628,0.028514478,gauzy,1630720,528724,82676,0.039809935
512,object,car,0.064551448,green-c,63326720,3773918,532219,0.007995067,car,5354795,3583526,541995,0.064551448,wheel,1513439,1921076,45387,0.01339194,glass,2246777,124066,3096,0.001307572,street-s,28111104,2469446,1275402,0.043521432,,24924928,158268,153043,0.006138871
