unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1089,texture,braided,0.06483249,purple-c,10857154,3611898,126294,0.008805419,plant,3760075,1551850,128942,0.024877952,hand,398768,396756,9034,0.011486478,food,1104928,544369,26874,0.016564114,cottage_garden-s,137984,826123,19077,0.020186661,braided,1568000,1171387,166788,0.06483249
1090,object,bus,0.021708891,blue-c,61494563,3608708,549548,0.008513033,bus,1628191,2374844,85055,0.021708891,coach,689166,654550,23947,0.018144842,carpet,4405463,768037,59313,0.011597738,boxing_ring-s,150528,1525205,32687,0.019894148,,24924928,300494,281353,0.011279355
1091,texture,crystalline,0.119294128,pink-c,18491188,3651237,193964,0.008837248,bottle,940208,1520752,80146,0.033663277,body,1291612,625143,74745,0.040577956,plastic-clear,161557,1042973,37522,0.032152307,jacuzzi-indoor-s,526848,684530,58261,0.050524795,crystalline,1530368,490944,215431,0.119294128
1092,object,bed,0.02606701,blue-c,61494563,3633428,339912,0.005246521,bed,5899566,2318650,208782,0.02606701,torso,7669375,1082116,175851,0.020505875,fabric,8548746,729392,145634,0.015946776,planetarium-outdoor-s,200704,1072761,31853,0.025654552,potholed,1580544,326623,28623,0.0152368
1093,texture,freckled,0.129173184,pink-c,18491188,3580770,197102,0.009010436,dog,3793935,2107279,320860,0.057498144,head,4946761,1632184,517240,0.085329128,fur,103280,612737,5249,0.007384969,planetarium-outdoor-s,200704,380216,6949,0.012106883,freckled,1555456,615428,248341,0.129173184
1094,part,footboard,0.042111061,brown-c,182265724,3584705,1158594,0.00627312,bed,5899566,2019497,245524,0.031996188,footboard,366693,706152,43353,0.042111061,carpet,4405463,1064784,49729,0.009174215,bedroom-s,19167232,1577869,476544,0.023511491,,24924928,167953,159338,0.006390508
1095,object,motorbike,0.047435275,black-c,139916835,3567647,746656,0.005230961,motorbike,1440771,1418809,129502,0.047435275,wheel,1513439,789181,90764,0.041035221,ceramic,679072,929868,35212,0.022374896,jacuzzi-indoor-s,526848,569032,25197,0.023533576,sprinkled,1718528,433356,29877,0.014079595
1096,object,chair,0.023700867,orange-c,30348501,3547103,448855,0.013419989,chair,4633108,1527834,142639,0.023700867,back,593570,539520,20828,0.018725804,wood,9793596,1165874,155006,0.014346478,conference_room-s,2308096,929908,50121,0.015722346,grooved,1505280,247425,18868,0.010882222
1097,object,mountain,0.156975017,green-c,63326720,3799505,736119,0.011087782,mountain,5469345,3423401,1206542,0.156975017,roof,443437,406353,11346,0.01353221,foliage,30325,55824,2187,0.026047498,mountain_snowy-s,1793792,1982966,264475,0.075300026,stratified,1568000,640775,70987,0.033205818
1098,object,flower,0.024879748,yellow-c,34166024,3581658,277559,0.007407475,flower,591549,1270884,45212,0.024879748,pot,422616,708213,16280,0.014606805,food,1104928,1595482,48562,0.018312513,dining_room-s,5694976,534732,146306,0.02405003,frilly,1618176,96565,10963,0.006434524
1099,object,airplane,0.053390594,green-c,63326720,3558014,489512,0.007372699,airplane,1293178,1839100,158758,0.053390594,body,1291612,968311,90395,0.041665745,metal,3462561,826499,72374,0.017163716,landing_deck-s,338688,639624,37758,0.040144426,studded,1593088,323377,18385,0.009686104
1100,object,train,0.053940261,red-c,21004512,3632378,185041,0.007567567,train,1646804,1922781,182690,0.053940261,coach,689166,714165,70724,0.053071911,metal,3462561,753706,43147,0.010339267,wine_cellar-barrel_storage-s,263424,834758,26689,0.024908236,crystalline,1530368,333675,18198,0.009858899
1101,texture,stained,0.062540116,white-c,72511065,3593255,656302,0.008698731,smoke,96357,2278135,59396,0.025655956,wave,42267,707367,16465,0.022457305,food,1104928,316200,9210,0.006523042,hot_spring-s,163072,1029705,39616,0.034354266,stained,1693440,650617,137969,0.062540116
1102,part,leg,0.048291797,blue-c,61494563,3573854,594514,0.009221002,person,14523849,1768160,554285,0.03522015,leg,2786636,1290262,187811,0.048291797,fabric,8548746,942699,211067,0.022743362,catwalk-s,137984,501462,5846,0.009226641,lined,1568000,202739,18488,0.010551
1103,object,airplane,0.120938847,blue-c,61494563,3668141,506239,0.007829673,airplane,1293178,3039532,467459,0.120938847,body,1291612,2335889,230381,0.067816562,fur,103280,342817,4169,0.009433663,batters_box-s,125440,643529,37072,0.050651936,braided,1568000,194188,19241,0.011039349
1104,texture,wrinkled,0.043096518,blue-c,61494563,3353613,465177,0.007225153,sea,2272224,1790801,106196,0.026838663,wave,42267,360902,3092,0.007728512,food,1104928,472391,29217,0.018872787,mountain_snowy-s,1793792,979261,99574,0.037245103,wrinkled,1555456,708803,93550,0.043096518
1105,texture,striped,0.045797502,red-c,21004512,3605756,167794,0.006864853,seat,1488057,2349528,71971,0.019112687,stern,184796,693199,12888,0.014897579,fabric,8548746,358481,45724,0.005159847,carrousel-s,200704,1224568,35643,0.025649292,striped,2433536,632873,134284,0.045797502
1106,texture,matted,0.052487344,green-c,63326720,3629644,939280,0.014227832,field,1883336,3103276,149843,0.030979979,torso,7669375,853737,72588,0.008589763,fur,103280,97075,532,0.002662356,river-s,627200,1341762,75693,0.039980056,matted,1593088,592944,109017,0.052487344
1107,scene,bakery-shop-s,0.077523312,yellow-c,34166024,3717278,420264,0.011218097,case,608750,1017794,46319,0.029311649,body,1291612,470386,32436,0.018753881,food,1104928,2226863,200716,0.064104501,bakery-shop-s,715008,472566,85441,0.077523312,bumpy,2082304,128490,26615,0.012185357
1108,object,horse,0.047637616,black-c,139916835,3571503,1047288,0.007352431,horse,1230680,2170662,154664,0.047637616,torso,7669375,1391730,296010,0.033771454,fur,103280,800388,18074,0.020408901,shoe_shop-s,577024,606071,46507,0.040918081,braided,1568000,305888,25657,0.013881923
1109,texture,frilly,0.063161517,green-c,63326720,3525610,1027684,0.01561245,plant,3760075,2273054,254254,0.043997145,torso,7669375,449936,119946,0.01499444,food,1104928,463108,51696,0.034092618,forest-broadleaf-s,1216768,1219524,81149,0.034456082,frilly,1618176,578708,130515,0.063161517
1110,object,pool table,0.096068388,red-c,21004512,3576828,195870,0.008032242,pool table,435101,1924355,206802,0.096068388,screen,677188,909553,19740,0.012597312,food,1104928,912735,42851,0.021698774,poolroom-home-s,1317120,996480,162949,0.075767291,bumpy,2082304,274858,18010,0.007699371
1111,object,airplane,0.211453884,blue-c,61494563,3741749,651680,0.010090326,airplane,1293178,3156480,776668,0.211453884,body,1291612,2470876,390647,0.1158557,metal,3462561,321753,22984,0.006110604,arrival_gate-outdoor-s,451584,579907,56697,0.058163058,,24924928,117427,92124,0.003692311
1112,scene,street-s,0.10164567,grey-c,159331282,3817391,1581642,0.009789386,building,35246027,3726485,2095547,0.056825365,balcony,317196,2132703,35738,0.014803487,concrete,382930,17929,1012,0.002530968,street-s,28111104,3333663,2901318,0.10164567,potholed,1580544,38891,5532,0.003427715
